Compa,NAICS,Latit,Longi
TOWER LOAN,CONSUMER LENDING,30.435721,-88.901426
TITLE MAX,CONSUMER LENDING,34.9506,-85.2444
FORREST TRUST,CONSUMER LENDING,25.688581,-80.365214
LOAN OFFICER NMLS,CONSUMER LENDING,42.81262,-70.872075
TIME FINANCING SVC,CONSUMER LENDING,36.150216,-80.270643
CHECK INTO CASH,CONSUMER LENDING,33.794179,-83.727418
RED SQUARE LENDING,CONSUMER LENDING,25.932028,-80.122269
BLAKE SEEDS-CMG FINANCIAL REP,CONSUMER LENDING,45.680725,-111.03772
CHECK INTO CASH,CONSUMER LENDING,33.103772,-83.249182
LONGEVITY CAPITAL FUNDING,CONSUMER LENDING,32.020878,-81.111335
PMO LOANS,CONSUMER LENDING,42.294401,-83.468301
CALIBER HOME LOANS INC,CONSUMER LENDING,25.898194,-80.352629
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,30.435721,-88.901426
VERNICK FINANCIAL SVC,CONSUMER LENDING,42.22614,-83.284969
MAGNOLIA BANK MORTGAGE,CONSUMER LENDING,26.0252,-80.2427
BROADVIEW VENTURES,CONSUMER LENDING,42.356522,-71.053343
TRANSMARK FUNDING,CONSUMER LENDING,32.336807,-90.093097
COMMUNITY LOANS,CONSUMER LENDING,32.617641,-83.623971
AA & D FINANCE CO INC,CONSUMER LENDING,42.359958,-71.148483
PRIME MORTGAGE,CONSUMER LENDING,31.324177,-89.372507
S & S FINANCING,CONSUMER LENDING,25.79787,-80.36683
GENISYS CREDIT UNION,CONSUMER LENDING,42.722605,-83.24146
WOODBRIDGE LOANS SVC,CONSUMER LENDING,42.3316,-83.049
LOAN MAX TITLE LOANS,CONSUMER LENDING,33.454769,-88.81469
PIKCO FINANCE INC,CONSUMER LENDING,32.364414,-88.724383
TWIN STATES FINANCE INC,CONSUMER LENDING,32.365421,-88.701156
DEWEESE TITLE LOAN & PAYROLL,CONSUMER LENDING,33.319337,-89.177434
PIONEER FEDERAL SAVINGS-LOAN,CONSUMER LENDING,46.397856,-112.733386
1017 FINANCIAL,CONSUMER LENDING,42.149183,-71.105718
INOVO GROUP,CONSUMER LENDING,42.191258,-83.782213
PARTNERS FOR SELF EMPLOYMENT,CONSUMER LENDING,25.8057,-80.190156
CORPORATE HOUSING EQUITY,CONSUMER LENDING,42.364672,-71.083844
ONEMAIN FINANCIAL,CONSUMER LENDING,25.940559,-80.293336
COMMUNITY LOANS OF AMERICA,CONSUMER LENDING,32.355988,-88.687867
FANTINI & GORGA,CONSUMER LENDING,42.353752,-71.056492
GEORGIA AUTO PAWN,SALES FINANCING,31.844091,-81.60176
CAR TITLE LOANS,CONSUMER LENDING,30.518036,-89.668633
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,30.516783,-89.677318
PREMIER FINANCIAL SVC,CONSUMER LENDING,31.227793,-90.45934
QUICK LOANS DODGE CO,CONSUMER LENDING,32.198804,-83.176482
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.953286,-85.249745
24 HOUR QUICK CASH,CONSUMER LENDING,30.375444,-89.092563
RICHIE'S TITLE PLEDGE,CONSUMER LENDING,30.516173,-89.678932
CHECK 'N GO,CONSUMER LENDING,42.184071,-83.190361
COMMUNITY CHOICE FINANCIAL,CONSUMER LENDING,33.443966,-88.847382
COMMUNITY CHOICE FINANCIAL,CONSUMER LENDING,33.54299,-89.26695
COMMUNITY CHOICE FINANCIAL,CONSUMER LENDING,33.523598,-88.435759
SOUTHERN MANAGEMENT CORP,CONSUMER LENDING,32.462812,-83.736389
WORLD FINANCE,CONSUMER LENDING,30.83534,-82.006589
CONFIDENTIAL AUTO LOANS,CONSUMER LENDING,31.5721,-90.4554
ADVANTAGE FINANCIAL SVC,CONSUMER LENDING,31.31896,-89.394312
S R ENTERPRISES,CONSUMER LENDING,42.627919,-83.314919
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.115456,-81.247933
DEWEESE PAYROLL ADVANCE,CONSUMER LENDING,33.535141,-88.438423
ONEMAIN FINANCIAL,CONSUMER LENDING,26.245378,-80.251768
MARINER FINANCE,CONSUMER LENDING,36.06675,-80.253433
TMX FINANCE,CONSUMER LENDING,34.110316,-82.864581
QUICK LOANS OF WA COUNTY,CONSUMER LENDING,32.957667,-82.809177
TOWER LOAN,CONSUMER LENDING,33.520154,-88.434661
GENERAL FINANCE,CONSUMER LENDING,42.373732,-71.123528
CHECKSMART,CONSUMER LENDING,42.313179,-83.271341
E-Z CASH,CONSUMER LENDING,30.386439,-89.067554
ALC,CONSUMER LENDING,30.4637,-88.9349
EHOME LOANS CORP,CONSUMER LENDING,25.748836,-80.303949
REGIONAL FINANCE CORP,CONSUMER LENDING,31.19508,-81.482334
ROCKLOANS MARKETPLACE LLC,CONSUMER LENDING,42.334704,-83.04725
FIRST AMERICAN TITLE LENDING,CONSUMER LENDING,32.541435,-82.955399
SOUTHERN FINANCE CO,CONSUMER LENDING,32.820562,-83.697488
MISSISSIPPI TITLE LOANS,SALES FINANCING,31.317128,-89.304435
ATLANTIC CREDIT GROUP,CONSUMER LENDING,25.64813,-80.409851
COMMUNITY CHOICE FINANCIAL,CONSUMER LENDING,31.261071,-90.47254
WHITEHORSE FINANCE INC,CONSUMER LENDING,25.75887,-80.193099
BEACON EQUITY ADVISORS,CONSUMER LENDING,42.160665,-71.198186
PLS LOAN STORE,CONSUMER LENDING,30.371445,-88.548956
ADVANCE AMERICA,CONSUMER LENDING,30.466424,-89.102882
BANK MICHIGAN-LENDING OFFICE,CONSUMER LENDING,42.244445,-83.748577
NEXTWAVE FUNDING,CONSUMER LENDING,25.783308,-80.2908
ACCION USA,CONSUMER LENDING,25.749789,-80.240126
COMMUNITY CHOICE FINANCIAL,CONSUMER LENDING,32.357505,-88.683324
CHECK 'N GO,CONSUMER LENDING,42.416035,-83.169601
QUICK CASH TITLE LOANS & PAWN,SALES FINANCING,31.194601,-81.480003
US COMMERCIAL FUNDING GROUP,CONSUMER LENDING,25.913831,-80.330429
CHECK INTO CASH,CONSUMER LENDING,33.493419,-88.367132
QUICK CHECK SVC INC,CONSUMER LENDING,30.358959,-88.525563
AMERICAN FINANCE CO,CONSUMER LENDING,32.618595,-83.627495
CHECK CASHING STORE,CONSUMER LENDING,25.926477,-80.156105
CMG COMMERCIAL FINANCE,CONSUMER LENDING,42.412696,-83.463336
MONEY SOURCE FINANCIAL,CONSUMER LENDING,42.265189,-83.750841
DAST LOAN SVC LLC,CONSUMER LENDING,25.846184,-80.37778
TERM FUNDING INC,CONSUMER LENDING,25.64893,-80.41397
FRESH FUNDING LLC,CONSUMER LENDING,42.563653,-82.949669
TODAY'S CHECKING,CONSUMER LENDING,30.925079,-88.584856
SOUTHERN AG CREDIT,CONSUMER LENDING,32.33253,-89.145359
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.8394,-83.6388
LOAN MAX TITLE LOANS,CONSUMER LENDING,32.015077,-81.11247
NEW FOREST LOAN & FINANCE,CONSUMER LENDING,31.502919,-82.850993
TOWER LOAN,CONSUMER LENDING,31.11594,-90.138983
TOWER LOAN,CONSUMER LENDING,30.851393,-89.142548
SIGNAL LAKE VENTURE FUND,CONSUMER LENDING,42.352552,-71.073955
GEORGIA AUTO PAWN,SALES FINANCING,33.443523,-82.03021
LENDMARK FINANCIAL SVC,CONSUMER LENDING,33.502359,-82.085552
ASSET FUNDING CO INC,CONSUMER LENDING,25.703044,-80.286066
JLF FUNDING INC,CONSUMER LENDING,25.790254,-80.218076
REPUBLIC FINANCE INC,CONSUMER LENDING,33.522014,-88.435722
SUNSET FINANCE OF DUBLIN,CONSUMER LENDING,32.535914,-82.931219
WESTERN FINANCE SVC,CONSUMER LENDING,32.0938,-81.148
ACCESS LOAN CO OF PEARSON,CONSUMER LENDING,31.32,-82.8674
STAFFORDVILLE FINANCE CORP,CONSUMER LENDING,42.560337,-70.886543
WORLD FINANCE,CONSUMER LENDING,31.531281,-82.462585
TMX FINANCE,CONSUMER LENDING,32.790218,-83.669033
AMERICAN CASH ADVANCE,CONSUMER LENDING,31.230726,-90.454093
XTRATEGIES LLC,CONSUMER LENDING,25.710631,-80.281478
CUSTOMERS BANK-LOAN OFFICE,CONSUMER LENDING,42.355698,-71.052176
TITLE MAX,CONSUMER LENDING,32.080512,-81.091841
BEST RATE MORTGAGE CO,CONSUMER LENDING,25.72494,-80.31384
PEACH STATE FINANCE,CONSUMER LENDING,32.686193,-83.346116
M & M FINANCIAL SVC INC,CONSUMER LENDING,34.354508,-82.917763
GLOUCESTER REVOLVING LOAN FUND,CONSUMER LENDING,42.612085,-70.660729
ADVANCE AMERICA,CONSUMER LENDING,42.391606,-83.056038
REPUBLIC FINANCE INC,CONSUMER LENDING,31.247981,-90.465839
CHECK CASHING USA,CONSUMER LENDING,25.68759,-80.363256
CHECK CASHING USA,CONSUMER LENDING,25.596435,-80.354695
ADVANCE AMERICA,CONSUMER LENDING,42.420179,-83.217349
ADVANCE AMERICA,CONSUMER LENDING,42.402168,-83.159244
WORLD FINANCE,CONSUMER LENDING,33.034463,-83.933714
DAY FINANCE CO,CONSUMER LENDING,32.076927,-81.085144
MODERN FINANCE & LOAN CO,CONSUMER LENDING,33.475703,-81.967798
STERLING FINANCE CO,CONSUMER LENDING,31.212712,-82.354182
REPUBLIC FINANCE INC,CONSUMER LENDING,31.579753,-90.450381
SERVICE LOAN CO,CONSUMER LENDING,30.83087,-83.279197
CHECK 'N GO,CONSUMER LENDING,42.350245,-83.157269
PERRY RUEBEN CO,CONSUMER LENDING,42.255393,-83.725248
FUNDING SOLUTIONS LLC,CONSUMER LENDING,42.374142,-83.465599
SERVICE LOAN CO,CONSUMER LENDING,32.007686,-81.111577
GREAT LAKES ENTREPRENEUR'S QST,CONSUMER LENDING,42.288686,-83.747589
BCC SOLAR ENERGY ADVANTAGE INC,CONSUMER LENDING,42.329353,-71.086552
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.3993,-83.3285
UNITED CREDIT CORP,CONSUMER LENDING,31.57912,-90.464621
FLORIDA MORTGAGE FUNDS,CONSUMER LENDING,25.737554,-80.35224
BAY CASH ADVANCE INC,CONSUMER LENDING,25.96657,-80.205489
A G R PRIVATE EQUITY LLC,CONSUMER LENDING,26.271815,-80.259039
CHECK 'N GO,CONSUMER LENDING,42.392966,-83.140703
ADVANCE AMERICA,CONSUMER LENDING,25.96239,-80.206295
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.107003,-83.253154
VELOCITY FUNDING,CONSUMER LENDING,42.245659,-71.174232
RESILIENT FUNDING GROUP INC,CONSUMER LENDING,26.009299,-80.269767
SECURITY FINANCE,CONSUMER LENDING,30.832245,-83.278344
NEXTWAVE ENTERPRISES LLC,CONSUMER LENDING,25.783308,-80.2908
B G CAPITAL FUNDING LLC,CONSUMER LENDING,25.765881,-80.221596
TAX PRO FINANCIAL SVC,CONSUMER LENDING,42.40955,-71.012241
MISSISSIPPI LAND BANK,CONSUMER LENDING,33.480285,-88.795268
BEACON HILL FUNDING,CONSUMER LENDING,42.455643,-71.064443
MICHIGAN ELAB,CONSUMER LENDING,42.279563,-83.742783
TOWER LOAN,CONSUMER LENDING,33.454166,-88.831476
OGLETHORPE FINANCE,CONSUMER LENDING,33.893,-83.1541
GULF ISLANDS CREDIT INC,CONSUMER LENDING,30.384914,-89.0715
HOME LOAN INVESTMENT BANK,CONSUMER LENDING,42.560337,-70.886543
BEACON HILL EQUITY GROUP,CONSUMER LENDING,42.158791,-71.145925
CHECK CASHING,CONSUMER LENDING,42.384116,-83.081997
CHECK 'N GO,CONSUMER LENDING,42.370102,-83.312874
WILCOX FINANCE CO,CONSUMER LENDING,31.9508,-83.465
CANDLEWOOD MIAMI LENDERS LLC,CONSUMER LENDING,25.886371,-80.13179
REPUBLIC FINANCE INC,CONSUMER LENDING,34.76059,-84.951082
FIRST VOLUNTEER BANK,CONSUMER LENDING,34.916258,-85.124465
CNAC,CONSUMER LENDING,42.2877,-71.0727
NATIONAL FINANCE CTR,CONSUMER LENDING,33.0033,-83.5518
PAYDAY LOANS INC,CONSUMER LENDING,25.771077,-80.28753
NATIONS TRUST MORTGAGE,CONSUMER LENDING,25.9628,-80.1478
O T M MEZZANINE BORROWER LLC,CONSUMER LENDING,25.763904,-80.190626
FINANCE SOLUTIONS CO,CONSUMER LENDING,25.886587,-80.368184
TOWER LOAN,CONSUMER LENDING,31.230726,-90.454093
CHECK INTO CASH,CONSUMER LENDING,42.303288,-83.387726
SO FLO BLACK BELT FINANCE LLC,CONSUMER LENDING,26.309579,-80.281505
CHECK CASHING STORE,CONSUMER LENDING,25.57918,-80.367317
ONEMAIN FINANCIAL,CONSUMER LENDING,31.245949,-90.45765
EFS INC,CONSUMER LENDING,30.36862,-88.548257
TITLE MAX,CONSUMER LENDING,32.252896,-81.214948
PEOPLES LOAN & FINANCE CORP,CONSUMER LENDING,34.77465,-84.965181
FIRST CONSUMER SVC OF DALTON,CONSUMER LENDING,34.775572,-84.965186
FIRST SECURITY BANK LOAN,CONSUMER LENDING,48.551714,-109.67721
MARSOFT INC,CONSUMER LENDING,42.35727,-71.054236
VALLEY BANK OF RONAN,CONSUMER LENDING,47.594948,-115.352669
PRONTO TITLE LOANS PASCAGOULA,CONSUMER LENDING,30.363617,-88.548819
MPM & ASSOC LLC,CONSUMER LENDING,25.961155,-80.153852
COMMUNITY LOANS OF AMERICA,CONSUMER LENDING,25.580716,-80.366509
ONEMAIN FINANCIAL,CONSUMER LENDING,33.470306,-82.035683
ADVANCE AMERICA,CONSUMER LENDING,41.939575,-83.406073
ONEMAIN FINANCIAL,CONSUMER LENDING,41.939139,-83.406322
ADVANCE AMERICA,CONSUMER LENDING,25.850189,-80.242064
MAGNOLIA FINANCE,CONSUMER LENDING,30.452247,-88.541088
MEDICAL FINANCE EAST LLC,CONSUMER LENDING,25.974421,-80.142967
MOUNTAIN FINANCE,CONSUMER LENDING,46.870043,-113.99198
TITLE MAX,CONSUMER LENDING,32.821308,-83.695351
FUNDING SOLUTIONS FINANCIAL,CONSUMER LENDING,34.093543,-84.01783
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.189218,-83.172459
GLOBAL AUTO CREDIT INC,CONSUMER LENDING,26.024319,-80.208382
EQ OFFICE,CONSUMER LENDING,42.35384,-71.057339
HERCULES TECHNOLOGY GROWTH,CONSUMER LENDING,42.350925,-71.071518
CHECK INTO CASH,CONSUMER LENDING,42.461008,-83.123678
ADVANTAGE CASH ADVANCE,CONSUMER LENDING,42.445797,-83.18306
WORLD FINANCE,CONSUMER LENDING,32.619855,-83.683185
ALYDAR FINANCIAL INC,CONSUMER LENDING,36.0383,-80.1867
RHODE ISLAND STUDENT LOAN AUTH,CONSUMER LENDING,42.3503,-71.0753
LOAN MAX TITLE LOANS,CONSUMER LENDING,32.821753,-83.696135
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.972987,-82.80878
ACCESS LOAN CO OF WAYCROSS,CONSUMER LENDING,31.210864,-82.358643
FIRST AMERICAN TITLE LENDING,CONSUMER LENDING,34.297093,-83.840246
A+ FINANCIAL SVC INC,CONSUMER LENDING,33.469874,-82.062754
ADVANCE AMERICA,CONSUMER LENDING,42.442001,-83.296936
FLIGHT FINANCE OF ATHENS,CONSUMER LENDING,33.940343,-83.466045
LENDMARK FINANCIAL SVC,CONSUMER LENDING,32.61535,-83.697136
VELOCITY EQUITY PARTNERS,CONSUMER LENDING,42.512146,-71.035213
TITLE BUCKS,CONSUMER LENDING,32.617849,-83.625384
SOVEREIGN LEASING & FINANCING,CONSUMER LENDING,47.613625,-114.113486
ACCESS ONE PREMIUM FINANCE,CONSUMER LENDING,42.389401,-83.331718
AMSCOT-THE MONEY SUPERSTORE,CONSUMER LENDING,25.956591,-80.205526
BIRMINGHAM BUSINESS CREDIT LLC,CONSUMER LENDING,42.602644,-83.167381
THREE RIVERS BANK,CONSUMER LENDING,48.204564,-114.331432
CASH LINK TITLE PAWN INC,CONSUMER LENDING,32.801068,-83.664569
LOAN MOZ,CONSUMER LENDING,42.503938,-83.205039
PERSONAL FINANCE SVC,CONSUMER LENDING,31.96379,-83.773136
MARINER FINANCE,CONSUMER LENDING,32.879732,-83.758783
QUANTUM LEAP LENDING LLC,CONSUMER LENDING,26.260491,-80.249442
CARLOS VALERA & ASSOC,CONSUMER LENDING,25.758429,-80.259801
SERVICE & TAX,CONSUMER LENDING,33.465375,-82.501635
FRONTIER GLOBAL FUNDING LLC,CONSUMER LENDING,25.688823,-80.313679
ADVANCE AMERICA,CONSUMER LENDING,42.248556,-83.17176
SUNBELT CREDIT,CONSUMER LENDING,31.3996,-81.4169
VOX EQUITY PARTNERS LLC,CONSUMER LENDING,42.369405,-71.074561
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.781922,-84.793398
MOTORS HOLDING LLC,CONSUMER LENDING,42.3299,-83.0406
SHAMROCK FINANCE LLC,CONSUMER LENDING,42.668229,-70.92626
ADVANCE AMERICA,CONSUMER LENDING,42.199079,-83.195933
SECURITY FINANCE,CONSUMER LENDING,31.963346,-83.771004
SECURITY FINANCE,CONSUMER LENDING,31.60592,-81.88397
CAROLINA FARM CREDIT ACA AS,CONSUMER LENDING,36.244013,-80.296705
SUN FINANCE GROUP INC WM,CONSUMER LENDING,25.7381,-80.3094
JINSA AUTO FINANCE SVC,CONSUMER LENDING,25.827381,-80.371628
EASY FINANCING,CONSUMER LENDING,25.841176,-80.311927
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.106364,-82.023639
WORLD FINANCE,CONSUMER LENDING,31.963348,-83.777302
HOUSEHOLD FINANCE,CONSUMER LENDING,25.690069,-80.388054
WORLD FINANCE,CONSUMER LENDING,33.512711,-82.089017
QUICKEN,CONSUMER LENDING,42.40653,-71.055649
SILVA BROTHERS,CONSUMER LENDING,42.616634,-71.324446
MERCHANT FUNDING SOLUTIONS INC,CONSUMER LENDING,26.012724,-80.145343
CAROLINA FARM CREDIT ACA,CONSUMER LENDING,36.23125,-80.708939
WESTERN FINANCE SVC,CONSUMER LENDING,30.785007,-81.646744
ONEMAIN FINANCIAL,CONSUMER LENDING,42.541285,-83.786028
ACADEMY OF FINANCE,CONSUMER LENDING,25.789784,-80.189911
WORLD FINANCE,CONSUMER LENDING,33.324239,-83.387051
CORK & BARRELL,CONSUMER LENDING,31.038364,-82.747692
A1 FAST CASH TITLE LOANS,CONSUMER LENDING,34.290011,-83.8336
C J C FUNDING LLC,CONSUMER LENDING,25.724461,-80.263759
YSL LENDING GROUP LLC,CONSUMER LENDING,40.738464,-73.876068
EQUITY ADVANTAGE GROUP INC,CONSUMER LENDING,40.755943,-73.623497
WORLD FINANCE,CONSUMER LENDING,30.785007,-81.646744
JTS LLC,CONSUMER LENDING,40.691297,-73.779305
LENDING BEAR,CONSUMER LENDING,30.788013,-81.648316
AG SOUTH FARM CREDIT,CONSUMER LENDING,31.649,-81.9154
PARK AV EQUITIES LLC,CONSUMER LENDING,40.705007,-73.961748
COPLEY EQUITY,CONSUMER LENDING,42.277122,-71.032402
CITY FINANCE CO,CONSUMER LENDING,31.14869,-81.493691
ADVANCE AMERICA,CONSUMER LENDING,25.686186,-80.384389
EMBASSY FUNDING CONSLNTS INTL,CONSUMER LENDING,26.01155,-80.157255
LAWN SERVICE MOORE'S,CONSUMER LENDING,25.856962,-80.21336
CHECK 'N GO,CONSUMER LENDING,42.2413,-83.2693
PLANTERS-CITIZENS BANK-LOAN,CONSUMER LENDING,33.034749,-83.938219
LIBERTY AVE EQUITIES LLC,CONSUMER LENDING,40.667753,-73.901241
GENESIS FINANCIAL GROUP INC,CONSUMER LENDING,42.130577,-83.145859
TITLE MAX,CONSUMER LENDING,33.110795,-83.255412
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.618595,-83.627495
MILLHOUSE TRADE FINANCE INC,CONSUMER LENDING,25.67166,-80.43065
APEX BUSINESS FUNDING LLC,CONSUMER LENDING,25.791256,-80.139168
COLONIAL FINANCE CO,CONSUMER LENDING,31.984079,-81.172458
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,31.199241,-82.320932
TRIPATH FINANCIAL GROUP,CONSUMER LENDING,42.104624,-71.483805
ROYTRAN LLC,CONSUMER LENDING,25.809971,-80.324909
ADVANCE AMERICA,CONSUMER LENDING,42.436437,-82.977549
COMMERCIAL BANKING CO,SALES FINANCING,30.880377,-83.303191
SIGNATURE FUNDING GROUP INC,CONSUMER LENDING,42.606998,-83.286896
ELEMENT FUNDING,CONSUMER LENDING,32.613913,-83.697229
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,31.963967,-83.777665
SIDI FINANCE INC,CONSUMER LENDING,25.7722,-80.188134
LOANS FOR U LLC,CONSUMER LENDING,25.906645,-80.326004
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.8763,-83.6651
AGGEORGIA FARM CREDIT,CONSUMER LENDING,30.78509,-83.556674
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,30.8357,-83.2814
LENDMARK FINANCIAL SVC,CONSUMER LENDING,31.8438,-81.5976
CHECK 'N GO,CONSUMER LENDING,42.269521,-83.772309
COMMUNITY LOANS OF AMERICA,CONSUMER LENDING,33.443523,-82.03021
NATIONAL CASH LOANS,CONSUMER LENDING,25.996204,-80.143249
SURE SPORTS LENDING LLC,CONSUMER LENDING,26.011131,-80.14607
TITLE MAX,CONSUMER LENDING,31.829959,-81.615338
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,31.205615,-83.251435
EQUITY RESOURCE FUND 2011 REIT,CONSUMER LENDING,42.372672,-71.11682
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,31.124279,-83.41808
CHECK 'N GO,CONSUMER LENDING,42.316815,-83.192062
AMERICAN QUALITY FUNDING,CONSUMER LENDING,40.813823,-73.219162
ADVANTAGE CASH ADVANCE 7,CONSUMER LENDING,42.427842,-83.278132
ELITE FINANCE & LEASING INC,CONSUMER LENDING,25.846311,-80.208794
B C I A FUNDING 2003 CORP,CONSUMER LENDING,42.358552,-71.058328
CREDITCENTRAL,CONSUMER LENDING,32.462866,-83.733779
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.327247,-83.381161
SOUTHERN FINANCE CO,CONSUMER LENDING,33.440153,-82.022974
1217 BEDFORD FUNDING PARTNERS,CONSUMER LENDING,40.631296,-73.708935
WORLD FINANCE,CONSUMER LENDING,33.471531,-82.504863
UNIFI EQUIPMENT FINANCE INC,CONSUMER LENDING,42.2794,-83.7417
IVY FUNDING CO,CONSUMER LENDING,32.080653,-81.092398
EXPRESS CASH TITLE PAWN,CONSUMER LENDING,33.424982,-82.019211
TITLE BUCKS,CONSUMER LENDING,33.421137,-82.062503
INTEGRATED VEHICLE LEASING,CONSUMER LENDING,40.803361,-73.410549
CHECK CASHING USA,CONSUMER LENDING,25.597614,-80.37699
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.981211,-82.813243
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.554962,-83.887988
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.072592,-82.915396
ADVANCE AMERICA,CONSUMER LENDING,42.6249,-83.2487
WORLDWIDE FUNDING GROUP,CONSUMER LENDING,40.673795,-73.40245
CHEMICAL BANK LOAN PRODUCTION,CONSUMER LENDING,42.373015,-83.470055
GOLD BUYERS OF MIAMI,CONSUMER LENDING,25.926177,-80.167411
PRINCIPAL CAR FINANCE,CONSUMER LENDING,25.858484,-80.315007
ADVANCE AMERICA,CONSUMER LENDING,42.661163,-83.434122
ADVANCE AMERICA,CONSUMER LENDING,42.453889,-83.375769
ADVANCE AMERICA,CONSUMER LENDING,42.332316,-83.121826
QUICKCASH PAYDAY ADVANCE,CONSUMER LENDING,42.251643,-83.668156
AGGEORGIA FARM CREDIT ACA,CONSUMER LENDING,32.466214,-83.728489
HARBOR FINANCE CO,CONSUMER LENDING,42.103609,-70.954901
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.5384,-82.9103
PROPERTY & CASUALTY INITIATIVE,CONSUMER LENDING,42.353527,-71.055901
TITLE BUCKS,CONSUMER LENDING,32.04361,-81.067427
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,31.138575,-83.419041
SECURITY FINANCE,CONSUMER LENDING,34.7054,-85.2823
LENDING FOR MERCHANTS,CONSUMER LENDING,25.9281,-80.1761
TOUCH-N-BUY GREAT LAKES,CONSUMER LENDING,42.414097,-83.287527
CASH NOW,CONSUMER LENDING,42.247757,-83.641826
LOAN ESPIONAGE,CONSUMER LENDING,42.3656,-71.1041
FAST PAYDAY LOAN,CONSUMER LENDING,25.765532,-80.222513
NOBLE FINANCE,CONSUMER LENDING,33.948772,-83.418305
COMMUNITY CHOICE FINANCIAL,CONSUMER LENDING,25.86678,-80.298581
CORAL GABLES BORROWER LLC,CONSUMER LENDING,25.763904,-80.190626
MARFLAX CORP,CONSUMER LENDING,42.258229,-83.68043
ONEMAIN FINANCIAL,CONSUMER LENDING,40.75585,-73.55162
JNL SYSTEMS,CONSUMER LENDING,34.153945,-84.032535
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.035249,-83.940738
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.6216,-83.5965
CASH LINK TITLE PAWN,CONSUMER LENDING,32.862396,-83.591976
GEORGIA AUTO PAWN,SALES FINANCING,32.784763,-83.666885
CARABANA FINANCE CORP,CONSUMER LENDING,25.884279,-80.200455
CHECKSMART,CONSUMER LENDING,42.442835,-82.946215
S & S LOAN SVC,CONSUMER LENDING,33.090733,-82.016731
CHECK CASHING USA,CONSUMER LENDING,25.781982,-80.13171
EMPIRE CASH LOANS-EAST MEADOW,CONSUMER LENDING,40.724566,-73.547609
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.879,-83.9604
SUNBELT CREDIT,CONSUMER LENDING,32.952429,-82.809014
313 FUNDING LLC,CONSUMER LENDING,40.643064,-73.663696
CREDITCENTRAL,CONSUMER LENDING,33.941586,-83.446304
FERN & ASSOC REALTY,CONSUMER LENDING,25.797453,-80.23336
WORLD FINANCE,CONSUMER LENDING,34.868242,-85.512053
M & M PRIVATE LENDING GROUP,CONSUMER LENDING,25.892299,-80.163314
NORTHSIDE INSURANCE-TITLE PAWN,CONSUMER LENDING,32.882231,-83.670157
FIRST CITIZENS,CONSUMER LENDING,33.4715,-81.9673
ONLINE LENDING POLICY INST,CONSUMER LENDING,42.351832,-71.076623
REPUBLIC FINANCE,CONSUMER LENDING,32.5419,-82.9541
MELROSE FUNDING,CONSUMER LENDING,40.807413,-73.515854
STERLING FINANCE CO,CONSUMER LENDING,32.003006,-81.125205
COLVIN FINANCE CO,CONSUMER LENDING,33.474445,-81.96602
WORLD FINANCE,CONSUMER LENDING,33.940343,-83.466045
P J'S AUTO FINANCE INC,CONSUMER LENDING,42.154475,-71.006231
ADVANCE AMERICA,CONSUMER LENDING,42.267962,-83.348213
WORLD FINANCE,CONSUMER LENDING,33.475455,-82.003451
GEORGIA AUTO PAWN,SALES FINANCING,31.996472,-81.127741
LENDBUZZ FUNDING LLC,CONSUMER LENDING,42.355254,-71.053745
ONEMAIN FINANCIAL,CONSUMER LENDING,34.286613,-83.841877
CHECK INTO CASH,CONSUMER LENDING,34.719382,-85.280335
CHECK INTO CASH,CONSUMER LENDING,34.492954,-85.337657
SERVICE LOAN AUGUSTA,CONSUMER LENDING,33.475745,-81.967737
ADVANCE AMERICA,CONSUMER LENDING,42.653985,-83.37348
CMA EQUITY INC,CONSUMER LENDING,40.718964,-73.55154
