Compa,NAICS,Latit,Longi
ACE CASH EXPRESS,CONSUMER LENDING,33.495314,-112.117841
ARIZONA PREMIUM FINANCE CO,CONSUMER LENDING,33.59935,-112.013687
TOWER LOAN,CONSUMER LENDING,31.324717,-85.823156
REPUBLIC FINANCE INC,CONSUMER LENDING,33.997207,-86.096133
CHECK 'N GO,CONSUMER LENDING,33.504839,-86.858967
PRIMELENDING A PLAINSCAPITAL,CONSUMER LENDING,61.185573,-149.892617
NATIONS QUICK CASH,CONSUMER LENDING,31.429344,-86.961608
CREDITCENTRAL,CONSUMER LENDING,33.153726,-85.376895
WORLD FINANCE,CONSUMER LENDING,33.168404,-87.527107
CHECK INTO CASH,CONSUMER LENDING,33.718579,-87.816571
REPUBLIC FINANCE INC,CONSUMER LENDING,31.246038,-85.422356
ADVANCE AMERICA,CONSUMER LENDING,31.005852,-87.491249
TITLE MAX,CONSUMER LENDING,31.256381,-85.43345
ONEMAIN FINANCIAL,CONSUMER LENDING,32.338486,-86.182185
CASH STATION INC,CONSUMER LENDING,32.422387,-85.69211
TITLE MAX,CONSUMER LENDING,32.45954,-86.450327
CHECK 'N GO,CONSUMER LENDING,33.53171,-86.706502
LOCAL FINANCE,CONSUMER LENDING,34.02236,-86.020674
SOUTHERN MANAGEMENT,CONSUMER LENDING,31.853254,-86.638736
ADVANCE AMERICA,CONSUMER LENDING,33.565064,-86.895238
CB&S BANK,CONSUMER LENDING,33.411166,-86.675366
EASYMONEY CASH CENTERS,CONSUMER LENDING,34.17898,-86.846236
CREDITCENTRAL,CONSUMER LENDING,34.332995,-86.50228
ADVANCE AMERICA,CONSUMER LENDING,33.74622,-87.050183
TITLE CASH,CONSUMER LENDING,31.505034,-87.318185
ADVANCE AMERICA,CONSUMER LENDING,34.7074,-86.590279
HOME FOUND FINANCE,CONSUMER LENDING,34.884603,-86.569357
CASH SPOT,CONSUMER LENDING,34.514124,-87.717552
WORLD FINANCE,CONSUMER LENDING,30.764143,-88.228139
WESTERN FINANCE SVC,CONSUMER LENDING,30.449541,-87.684276
ADVANCE AMERICA,CONSUMER LENDING,33.604279,-86.69093
COMMUNITY LOANS OF AMERICA,CONSUMER LENDING,30.851295,-88.058006
ADVANCE AMERICA,CONSUMER LENDING,30.764143,-88.228139
GREATER ALASKA AUTO CREDIT,CONSUMER LENDING,61.155104,-149.86324
ALABAMA TITLE LOANS,CONSUMER LENDING,30.7011,-88.115936
ADVANCE AMERICA,CONSUMER LENDING,30.702675,-88.114933
ACE CASH EXPRESS,CONSUMER LENDING,33.478965,-112.046814
SIGNATURE FINANCE,CONSUMER LENDING,32.378216,-86.310164
REPUBLIC FINANCE INC,CONSUMER LENDING,33.614868,-85.785599
AUTO CREDIT,CONSUMER LENDING,35.768032,-91.652924
TITLE MAX,CONSUMER LENDING,33.237331,-87.576309
NATIONAL PARK COMMUNITY CLG,CONSUMER LENDING,34.513412,-93.119888
CREDITCENTRAL,CONSUMER LENDING,33.548125,-86.552186
WORLD ACCEPTANCE,CONSUMER LENDING,33.651462,-86.818084
WORLD FINANCE,CONSUMER LENDING,32.926927,-85.964055
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.332201,-86.503061
ARCUSO,CONSUMER LENDING,34.583573,-92.5717
