tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086000107,,,,,,,1,,1,1,,2,3,8
12086000109,,,,,,,1,2,2,1,7,7,3,23
12086000113,1,,,,,,1,,1,1,3,13,19,39
12086000115,,,,,,,1,,1,1,3,5,6,17
12086000118,,,,,,,,,,,2,2,1,5
12086000119,,,,,,,,,1,1,1,11,42,56
12086000120,,,,,,,,1,,4,3,4,13,25
12086000121,,,,,,,,,,1,1,2,12,16
12086000122,,,,,,,,,1,1,4,11,47,64
12086000123,,,,,,,,,3,2,3,12,21,41
12086000124,,,,,,,,1,1,4,2,6,5,19
12086000125,1,,,,,,,,1,,4,7,27,40
12086000126,,,,,,,,,,1,3,6,13,23
12086000127,,,,,,,,,2,5,7,6,7,27
12086000128,,1,,,,,,,2,,2,6,6,17
12086000129,,,,,,,,,,,3,7,11,21
12086000130,,,,,,,,,,,1,5,13,19
12086000131,,,,,,,,1,1,,1,10,39,52
12086000132,,,,,,,,,1,2,14,16,28,61
12086000133,,,,,,1,,2,,2,5,7,20,37
12086000134,,,,,,,,,,2,4,9,21,36
12086000140,,,,,,,,,2,,1,,7,10
12086000202,,,,,1,,1,2,4,8,12,13,20,61
12086000204,,,,,,,2,1,4,5,6,6,11,35
12086000206,,,,,,,2,1,1,10,12,8,10,44
12086000209,2,,,,,,,1,8,14,15,20,14,74
12086000211,,,,,,,,1,,3,4,6,3,17
12086000212,,,,,,,1,1,6,8,12,8,12,48
12086000213,,,,,,1,2,1,4,4,2,6,6,26
12086000214,,,,,,,2,1,,5,8,8,8,32
12086000215,,1,,,,,,3,2,7,6,3,4,26
12086000216,,,,,,1,2,1,1,3,3,7,6,24
12086000217,,,,,1,,1,2,2,3,9,4,11,33
12086000218,,,,,,,2,,1,3,6,3,3,18
12086000219,,,,,1,,,,3,17,9,9,12,51
12086000220,,,,1,,,,1,5,6,6,3,9,31
12086000301,1,,,,1,2,2,4,5,12,13,12,19,71
12086000302,,,,,,1,,,3,4,5,5,5,23
12086000305,1,,,,,1,2,,4,10,19,23,31,91
12086000306,1,,,,,,,,2,10,16,10,5,44
