tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086000107,,,,,,,,1,,2,,4,7,14
12086000109,,,,,1,,2,1,,6,6,3,2,21
12086000113,,,,,,,,1,1,2,5,6,24,39
12086000115,,,,,,,,,,,2,2,1,5
12086000118,,,,,,,,,,,1,2,4,7
12086000119,,,,,,,,1,1,,3,7,32,44
12086000120,,,,,,,,,1,,7,4,15,27
12086000121,,,,,,,,,1,1,1,1,5,9
12086000122,,,,,,,1,1,,3,10,15,25,55
12086000123,,,,,1,,,,3,3,8,11,17,43
12086000124,1,,,,,,,,3,5,5,6,8,28
12086000125,,,,,1,,,1,1,2,5,3,13,26
12086000126,,,,,,,,1,1,1,1,4,13,21
12086000127,,,,,,,1,1,2,1,2,5,5,17
12086000128,,,,,,,,,3,1,3,3,5,15
12086000129,,,,,,,,,,1,1,7,12,21
12086000130,,,,,,,,,1,2,2,4,10,19
12086000131,,,,,,,,1,1,5,4,12,42,65
12086000132,,,,,,,,,1,1,13,22,29,66
12086000133,,,,,,,,,,1,6,7,9,23
12086000134,,,,,,1,,,1,7,8,12,18,47
12086000140,,,,,,,,,1,,1,1,5,8
12086000202,,,,,1,,3,1,4,3,14,8,16,50
12086000204,,,,,1,,1,3,3,10,9,10,10,47
12086000206,1,,,,,1,1,1,3,3,20,12,9,51
12086000209,,1,,,1,,2,2,7,11,17,15,7,63
12086000211,,,,,,,1,1,1,2,5,,7,17
12086000212,,,,,,,1,,1,9,6,13,10,40
12086000213,,,,,,,2,1,1,8,5,3,6,26
12086000214,,,,,,,1,,2,3,6,11,21,44
12086000215,,,,,,,2,3,,1,3,1,3,13
12086000216,,,,,1,,,3,,5,5,7,5,26
12086000217,,,,,,1,1,1,2,6,7,10,10,38
12086000218,,,,,,,,2,3,6,6,8,8,33
12086000219,1,,,,1,,1,2,2,6,11,13,12,49
12086000220,,,,,1,,2,1,2,4,6,9,7,32
12086000301,,,,,1,1,3,3,6,8,20,19,24,85
12086000302,,,,,,,,1,1,1,8,3,7,21
12086000305,2,,,,1,,1,1,3,10,16,20,21,75
12086000306,,,,,,1,2,1,,11,15,17,11,58
12086000307,,1,,,,,1,,1,5,4,11,12,35
12086000308,1,1,1,,,,,3,3,6,13,9,17,54
12086000402,,,,,1,,2,1,3,4,6,6,14,37
12086000403,2,,,,,1,1,3,7,11,13,18,14,70
12086000404,1,1,,,1,1,8,4,5,16,17,15,11,80
12086000405,,,,,,1,3,2,1,5,14,11,8,45
12086000408,2,1,,,1,2,2,2,6,10,10,18,13,67
12086000409,,,,,,,2,2,2,4,19,9,6,44
12086000410,,,,,1,,4,2,6,10,7,8,5,43
12086000411,1,,,,,1,4,3,5,11,13,8,5,51
12086000412,,,,,,1,2,2,1,11,17,23,14,71
12086000413,1,,,,,2,2,3,1,10,12,10,6,47
12086000414,3,1,,,,1,,3,2,8,16,8,5,47
12086000501,,,,,,,5,,7,5,13,18,9,57
12086000503,2,,,,1,1,3,6,8,10,12,11,15,69
12086000504,,,,,,1,3,1,2,5,10,11,11,44
12086000505,,,,,,1,2,,4,4,9,15,19,54
12086000601,1,,,,,,,1,,5,5,10,27,49
12086000602,,,,,,,,2,3,3,6,20,19,53
12086000603,,,,,,1,,,2,3,9,17,28,60
12086000604,,,,,,,,2,2,5,3,21,30,63
12086000605,,,,,,,2,,1,,8,13,19,43
12086000607,,,,,1,,,1,2,8,4,17,30,63
12086000608,,,,,,,1,1,6,10,12,26,16,72
12086000705,,,,,,,,,1,2,7,12,29,51
12086000706,,,,,,1,1,1,3,5,14,24,43,92
12086000707,,,,,2,,1,2,4,6,7,17,23,62
12086000708,,,,,,1,,,2,7,12,16,36,74
12086000709,,,,,,,2,2,1,6,7,18,37,74
12086000710,1,,,,,,1,1,1,7,4,20,15,50
12086000711,,,,1,1,,1,2,4,6,9,18,28,70
12086000712,,,,,,,,,3,1,3,8,7,22
12086000804,,,,,,1,,,4,5,13,7,20,50
12086000805,,,,,,,,2,2,11,10,16,34,75
12086000806,,,,,,,1,1,1,3,16,26,33,81
12086000807,1,,,,,1,,1,2,7,9,11,15,47
12086000808,1,,,,,,,,1,7,8,12,17,46
12086000901,,,,,,2,1,1,4,16,20,22,21,87
12086000902,1,,,,,1,4,2,3,10,12,22,26,81
12086000903,,,,,,1,,,3,10,5,9,7,35
12086001002,1,,,,,1,2,6,9,14,20,17,21,91
12086001003,2,,,,,1,1,1,5,10,12,16,17,65
12086001004,1,,,,,1,1,2,7,8,12,9,12,53
12086001005,,,,,,1,,1,1,10,16,20,17,66
12086001006,,,,,1,,1,1,2,11,13,8,6,43
12086001101,,,,,1,,,2,2,6,16,19,18,64
12086001102,,,,,1,,1,1,2,4,10,8,8,35
12086001103,1,,,,,,,2,4,4,5,10,7,33
12086001104,,,,,,1,1,2,2,3,6,8,11,34
12086001203,2,,,,,1,2,4,3,11,19,10,11,63
12086001204,,,,,,,,2,4,6,6,13,16,47
12086001205,,,,,,,,2,,2,4,6,4,18
12086001206,,,,,,,,1,,2,8,6,23,40
12086001301,,,,,,,2,3,6,6,7,5,7,36
12086001302,,,,,,,,1,1,5,5,4,8,24
12086001401,1,,,,1,,4,1,5,10,7,19,12,60
12086001402,,,,,1,,,1,5,7,9,9,10,42
12086001501,,,,,,2,,3,4,12,4,3,6,34
12086001502,2,,,,2,,5,4,1,10,13,7,5,49
12086001602,,,,,,1,,,2,13,13,16,17,62
12086001603,,,,,,,,,,4,3,9,16,32
12086001605,,,,,,,,2,1,1,11,17,16,48
12086001606,,,,,,1,1,,2,1,7,13,12,37
12086001701,,,,,,,3,,4,9,10,9,1,36
12086001702,,,1,,,,3,4,2,4,9,9,7,39
12086001703,1,,,,,1,2,,3,4,4,12,11,38
12086001801,,,,,,1,1,6,3,15,4,9,6,45
12086001802,,,,,1,,4,,2,9,9,7,11,43
12086001803,,,,,,,,1,6,10,11,14,9,51
12086001901,,,,,,1,4,4,2,8,14,4,11,48
