tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086000107,,,,,,,,,1,,,9,5,15
12086000109,,,,,,,,,2,3,4,5,6,20
12086000113,,1,,,,,,1,3,2,10,13,29,59
12086000115,,,,,,,,,1,3,3,,4,11
12086000118,1,,,,,,,,,,2,2,1,6
12086000119,,,,,,,1,,1,2,,9,44,57
12086000120,,,,,,,1,2,4,2,5,7,12,33
12086000121,,,,,,,,,,1,1,6,10,18
12086000122,,,,,,,,1,2,4,4,8,36,55
12086000123,,,,,,,1,,,2,2,12,17,34
12086000124,,,,,,1,,1,1,6,4,8,7,28
12086000125,,,,,,,,2,,5,2,12,17,38
12086000126,,,,,,,,,1,1,1,6,12,21
12086000127,,,,,,,,1,2,7,5,4,9,28
12086000128,,,,,,,,,2,4,7,5,5,23
12086000129,,,,,,,,,,1,1,7,12,21
12086000130,1,,,,,,,,1,2,1,6,11,22
12086000131,1,,,,,,,,2,1,2,8,50,64
12086000132,,,,,,,2,,,3,4,14,30,53
12086000133,,,,,1,,1,,,2,2,15,12,33
12086000134,,,,,,,1,,1,3,4,6,19,34
12086000140,,,,,,,,,2,,2,3,4,11
12086000202,,,,,,,1,3,,7,8,10,13,42
12086000204,1,,,,,,,1,7,6,6,5,7,33
12086000206,1,,,,,,1,,3,9,9,9,14,46
12086000209,1,,,,,1,1,3,7,9,18,13,7,60
12086000211,,,,,,,,,3,4,6,2,3,19
12086000212,1,,,,1,,1,1,7,11,9,12,7,50
12086000213,,1,,,,,2,,,6,8,3,9,29
12086000214,2,,,,,2,,,1,7,10,9,8,39
12086000215,,,,,,1,,,3,7,3,5,4,23
12086000216,1,,,,,,1,1,1,1,5,5,4,19
12086000217,3,,,,,1,1,1,6,9,6,9,8,44
12086000218,,,,,,,2,1,2,5,2,2,6,20
12086000219,,1,,,,,,4,5,2,9,13,10,44
12086000220,1,,,,,1,,,7,1,3,6,3,22
12086000301,,,1,,,2,,3,5,7,10,9,23,60
12086000302,,,,,,,1,2,2,2,4,3,4,18
12086000305,2,1,,,1,1,2,1,7,7,19,25,18,84
12086000306,,,,,,,1,1,6,7,9,5,8,37
12086000307,,,,,1,2,,2,,2,8,11,6,32
12086000308,,,,,,,1,2,1,4,8,6,12,34
12086000402,,,,,,1,1,1,5,6,9,7,15,45
12086000403,2,,,,1,1,1,2,5,13,15,14,11,65
12086000404,3,,,,,,4,,3,9,10,11,9,49
12086000405,,,,,,,3,3,2,4,16,6,6,40
12086000408,1,,,,1,1,2,,2,6,8,10,5,36
12086000409,1,,,1,,,2,,3,3,7,10,5,32
12086000410,1,,,,,1,1,1,5,6,7,9,9,40
12086000411,1,,1,,1,1,2,2,5,3,14,8,4,42
12086000412,,,,,,2,3,3,5,11,21,19,17,81
12086000413,2,,,,,1,,3,2,8,3,3,6,28
12086000414,,,,,,,,2,5,4,8,7,12,38
12086000501,1,,,,1,,1,1,5,11,8,6,8,42
12086000503,1,,,1,,,1,3,6,11,6,15,11,55
12086000504,1,1,,,,1,,2,3,3,9,6,14,40
12086000505,,,,,,,1,,5,7,5,11,10,39
12086000601,,,,,1,1,1,2,1,2,6,21,22,57
12086000602,,,,,,,1,,2,3,9,21,24,60
12086000603,1,,,,,1,,3,2,2,9,25,27,70
12086000604,1,,,,,,1,1,2,4,6,28,27,70
12086000605,,,,,,,,2,3,7,5,10,23,50
12086000607,,,,,,1,2,1,3,3,5,16,14,45
12086000608,,,,,,,,2,5,10,15,19,29,80
12086000705,,,,,,,,,,2,16,19,22,59
12086000706,,,,,,,3,,4,10,5,19,22,63
12086000707,,,1,,,,,1,,2,7,14,24,49
12086000708,,,,,,,1,1,1,4,11,22,21,61
12086000709,,,,,,,,1,2,6,8,17,17,51
12086000710,,,,,,,2,3,4,2,8,19,7,45
12086000711,,,,,,,1,,4,4,11,18,21,59
12086000712,,,,,,,1,,1,1,1,2,9,15
12086000804,,,,,,,1,,4,6,6,22,24,63
12086000805,,,,,1,,,1,2,2,7,17,34,64
12086000806,1,,,,1,,1,,2,6,6,26,38,81
12086000807,1,,,,,,1,1,4,4,11,11,14,47
12086000808,1,,,,,,,2,4,2,10,15,14,48
12086000901,1,,,,,,1,2,6,4,11,16,16,57
12086000902,,,,,,1,,1,5,10,14,19,22,72
12086000903,1,,,1,,,4,2,,5,12,10,7,42
12086001002,1,,1,,,1,3,3,10,7,10,21,14,71
12086001003,,,,,,,4,3,6,8,8,16,9,54
12086001004,,,,,2,1,2,2,7,8,8,10,7,47
12086001005,,,,,,,1,2,6,7,15,12,15,58
12086001006,,,,,,1,1,,6,6,8,7,5,34
12086001101,1,,,,,2,1,,2,7,8,9,17,47
12086001102,,1,,,1,1,,1,4,3,6,6,7,30
12086001103,,,,,,,2,1,6,3,6,9,4,31
12086001104,,,,,,,2,1,1,5,4,6,7,26
12086001203,1,,,,,1,1,3,,7,12,7,13,45
12086001204,,,,,,2,1,1,2,5,2,15,28,56
12086001205,,,,,,,,,,2,5,5,8,20
12086001206,1,,,,1,,,,2,,5,13,24,46
12086001301,,,,,,,,1,3,6,8,6,7,32
12086001302,,,,,,,1,2,2,9,9,4,7,34
12086001401,2,,1,,1,,2,1,5,4,8,19,3,46
12086001402,1,,,,1,,1,4,2,9,15,10,5,48
12086001501,6,,,,,,,1,3,5,3,5,5,28
12086001502,1,,,,2,1,2,3,3,9,6,10,3,40
12086001602,1,,,,,1,4,1,1,2,16,19,19,64
12086001603,,,,,,,,1,3,3,3,13,12,35
12086001605,,,,,,,,3,2,5,7,18,12,47
12086001606,,,,,,,1,,,6,5,9,11,32
12086001701,,,,,1,,,1,6,8,4,8,9,37
12086001702,,,,,,1,3,2,4,4,9,6,8,37
12086001703,,,,,,,2,2,2,7,8,11,16,48
12086001801,,,,,1,2,2,2,5,8,5,9,8,42
12086001802,1,,,,1,3,1,1,6,7,8,11,5,44
12086001803,1,,,,,,2,4,5,4,8,15,5,44
12086001901,,,,,1,2,,2,4,9,10,9,9,46
12086001903,,,,,2,,2,,3,10,5,5,3,30
12086001904,1,,,,,,3,3,4,10,16,11,17,65
12086002001,1,,,,,1,1,3,4,7,14,5,3,39
12086002003,,,,,,1,1,2,3,5,9,8,4,33
12086002004,,,,,1,,1,,2,3,1,1,1,10
12086002100,1,,,,,,,,2,,2,7,5,17
12086002201,,,,,,,2,1,1,2,14,12,53,85
12086002202,1,,,,1,,3,1,3,9,11,18,15,62
12086002300,,,,,1,,3,3,6,6,15,20,10,64
12086002402,,,,,,1,1,,4,10,14,8,3,41
12086002403,,,,,,,,1,5,5,6,5,7,29
12086002404,,,,,,,1,1,3,1,12,28,20,66
12086002501,1,,1,,,1,,2,4,8,9,13,10,49
12086002502,,,,,,,,2,5,8,8,5,7,35
12086002600,2,,,,,,1,2,,3,5,3,6,22
12086002702,,,,,,,1,1,1,4,5,5,1,18
12086002703,,,,,,,1,1,3,,4,3,3,15
12086002705,1,,,,,,,1,,,,1,5,8
12086002706,1,,,,,,2,,1,3,3,3,3,16
12086002800,,,,,,,,,,2,1,1,,4
12086002900,,,,,,,2,1,8,14,11,11,17,64
12086003001,1,2,2,1,2,,1,1,,10,5,12,22,59
12086003003,,1,1,,,1,3,3,1,9,13,9,14,55
12086003004,,,,,,1,1,,2,5,8,12,11,40
12086003100,2,1,,,,1,2,1,9,9,8,4,2,39
12086003400,1,,,,,,1,1,3,6,2,7,5,26
12086003601,,,,,1,1,2,2,5,10,10,8,13,52
12086003602,,,,,,,2,1,6,7,7,20,17,60
12086003702,,,,,,,1,,,3,3,,2,9
12086003703,,,,,,,1,,,2,,1,1,5
12086003704,,,,,,,2,,,3,1,,,6
12086003705,,,,,,,,,,,1,,1,2
12086003706,,,,,,,,,,,,,,
12086003707,,,,,,,,,1,,2,1,3,7
12086003801,,,,,,1,,,1,4,4,8,18,36
12086003803,,,,,,,,,,1,2,6,18,27
12086003804,,,,,,,1,1,,2,4,12,23,43
12086003906,,,,,,1,,,,1,1,3,10,16
12086003909,,,,,,,,,,,1,2,7,10
12086003911,,,,,,,,,2,3,6,4,6,21
12086003912,,,,,,,1,,1,2,10,5,6,25
12086003913,,,,1,,,,,2,3,4,8,12,30
12086003914,,,1,,,,1,2,1,2,6,6,15,34
12086003915,,,,,,1,1,2,4,4,6,9,12,39
12086003916,1,,,,,,,,,,6,5,6,18
12086003917,,,,,,,,,2,7,4,12,11,36
12086003918,,,,,,,1,,,2,,3,2,8
12086003919,,,,,,,,,,1,3,3,14,21
12086003921,,,,,,,,,,,6,11,10,27
12086003922,,,,,,,,,1,2,2,4,9,18
12086004000,,,,,,,1,1,,2,5,3,23,35
12086004102,,,,,,,1,1,1,,3,3,10,19
12086004103,,,,,,,,,1,2,1,9,10,23
12086004105,,,,,,,1,1,2,,3,5,11,23
12086004106,,,,,,,,,1,3,4,3,7,18
12086004203,,,,,1,,2,1,,2,1,3,5,15
12086004204,,,,,,,1,,,1,2,3,1,8
12086004205,,,,,,,,,,,1,6,4,11
12086004206,,,,,,,,1,1,2,1,5,5,15
12086004301,,,,,,,1,1,1,1,,3,5,12
12086004303,,,,,,,,,,1,1,1,1,4
12086004304,,,,,,,2,,,3,5,3,5,18
12086004403,,,,,,,,2,1,5,11,6,11,36
12086004404,1,,,,,,,,,1,8,7,12,29
12086004405,,,,,,,,1,,3,6,10,7,27
