tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086000107,,,,,,,,,,1,,7,7,15
12086000109,,,,,,,1,2,,4,4,7,3,21
12086000113,1,,,,,,2,,,2,7,11,20,43
12086000115,,,,,,,,,1,,3,1,8,13
12086000118,,,,,,1,1,2,,,,1,1,6
12086000119,,,,,,,,1,3,3,3,10,33,53
12086000120,,,,,,,1,2,2,5,2,6,6,24
12086000121,,,,,,,,,,,1,4,15,20
12086000122,,,,,,,1,,,1,4,6,28,40
12086000123,,,,,,,3,,,4,7,7,19,40
12086000124,,,,,,,,,1,1,7,4,11,24
12086000125,,,,,1,,1,,2,1,2,8,26,41
12086000126,,,,,,,,,,1,4,8,17,30
12086000127,,,,,,,2,,1,2,2,15,12,34
12086000128,,,,,,,,,1,4,4,1,4,14
12086000129,,,,,,,,,,2,2,5,15,24
12086000130,,,,,,,,,,,2,1,15,18
12086000131,,,,,1,,,,,1,6,12,39,59
12086000132,,,,,,,,1,3,4,6,17,33,64
12086000133,,,,,,1,1,2,,1,7,8,26,46
12086000134,,,,,,,1,,,2,4,10,15,32
12086000140,,,,,,,,,1,3,2,2,4,12
12086000202,,,,,,,2,1,2,8,7,9,18,47
12086000204,,,,1,,,1,1,3,7,9,7,5,34
12086000206,,,,,,,3,1,3,6,11,8,10,42
12086000209,,,,,,,2,3,4,22,20,16,9,76
12086000211,,,,,,1,2,,,2,4,4,5,18
12086000212,,,,,,,1,,4,5,10,9,10,39
12086000213,2,,,,,1,1,2,1,7,5,5,8,32
12086000214,2,,,,,,1,2,2,10,7,9,8,41
12086000215,,,,,,,1,,3,5,5,10,3,27
12086000216,2,,,,,,,,1,3,6,5,5,22
12086000217,,,,,,1,2,4,,7,7,5,9,35
12086000218,,,,,1,,,,4,3,8,3,4,23
12086000219,1,,,,,,2,3,3,6,10,6,9,40
12086000220,,,,,,,1,,3,6,4,4,5,23
12086000301,1,,,1,,,2,2,10,7,13,15,15,66
12086000302,1,,,,,,,,2,6,5,4,1,19
12086000305,1,1,,1,1,1,,1,3,14,16,24,20,83
12086000306,,,,1,,1,1,1,2,3,15,8,8,40
12086000307,,,,,1,,,2,,6,6,5,5,25
12086000308,,,,,,,1,3,1,7,5,11,14,42
12086000402,,,,,,,4,2,4,6,10,10,16,52
12086000403,1,,,,,2,2,1,9,13,13,16,11,68
12086000404,1,,,,,1,,4,4,14,19,13,6,62
12086000405,,1,,,,1,2,,,7,6,10,10,37
12086000408,1,,,,,,3,,8,12,16,15,12,67
12086000409,1,,,,,,,1,5,4,8,7,10,36
12086000410,,,,,2,,3,2,3,8,8,8,5,39
12086000411,2,,,,1,2,4,2,8,3,17,11,5,55
