tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086010001,1,,,,1,,,2,6,11,19,13,11,64
12086010005,,,,,,1,1,,4,13,12,18,18,67
12086010006,,,,,1,,2,3,3,10,19,18,8,64
12086010009,1,,,,2,1,2,1,4,9,19,17,13,69
12086010010,,,,,,1,,,2,4,10,6,8,31
12086010011,1,1,,1,,2,2,2,4,11,9,10,5,48
12086010012,,,,,,,,3,3,6,5,14,7,38
12086010013,1,,,,,,1,,4,4,2,10,3,25
12086010015,4,,,,,1,2,,5,4,8,6,6,36
12086010016,,,,,,,,,4,6,8,11,10,39
12086010193,,,,,,,,,,2,2,,1,5
12086010198,,,,,1,,,1,1,,4,4,7,18
12086010201,,,,,,,1,1,,3,10,8,7,30
12086010204,,,,,,1,1,,2,9,6,10,4,33
12086010205,1,,,,,1,1,1,3,4,9,15,25,60
12086010207,,,,,,1,1,1,3,5,11,8,6,36
12086010208,1,,,,2,2,1,,,4,6,12,13,41
12086010209,,,,,,,1,2,5,3,3,1,10,25
12086010210,2,,,,,,1,1,3,4,5,18,6,40
12086010300,,,,,,2,,,6,8,10,24,19,69
12086010400,,,,,1,3,,1,4,3,3,4,4,23
12086010500,1,1,1,,,1,3,2,4,12,13,13,12,63
12086010604,,,,,,,1,1,1,4,7,12,15,41
12086010606,,,,,,1,,1,4,9,9,12,19,55
12086010608,,,,,,,1,,1,6,5,9,10,32
12086010609,,,,,,1,,3,6,5,9,10,6,40
12086010610,,,,1,,,,2,1,8,6,19,48,85
12086010612,,,,,1,2,2,,3,5,6,4,8,31
12086010613,,,,,,,1,,1,2,3,5,9,21
12086010614,,1,,,,,2,6,2,7,4,7,7,36
12086010617,1,,,,,1,1,,,2,3,3,1,12
12086010703,,2,,,,3,2,2,7,11,13,16,20,76
12086010704,,,,,,,,3,3,9,8,9,12,44
12086010801,,,,,4,,2,1,4,9,8,4,4,36
12086010802,1,,2,,1,1,,2,1,2,3,4,4,21
12086010900,,,,,2,1,1,3,5,3,6,7,8,36
12086011001,1,,,,,,1,3,5,7,6,9,9,41
12086011003,,,,,,,1,,4,3,8,9,9,34
12086011005,,,,,,2,2,1,4,3,6,11,12,41
12086011007,2,,,,1,,1,2,2,4,3,5,18,38
12086011008,,,,,,,,,2,,2,1,4,9
12086011009,,,,,1,2,,,4,3,3,2,3,18
12086011101,,,,,,4,1,2,7,11,12,11,20,68
12086011102,2,,,,,,1,2,2,5,8,11,12,43
12086011201,2,,,,,,1,2,3,6,5,8,5,32
12086011202,1,,,,1,2,1,3,4,3,5,13,20,53
12086011300,1,,,,1,3,7,2,7,9,10,14,13,67
12086011401,4,,,,1,1,3,2,7,8,18,17,16,77
12086011403,,,1,,1,1,2,,3,6,9,15,12,50
12086011404,,,,,,,,,2,1,5,5,2,15
12086011500,1,,,,,,2,1,5,9,4,12,17,51
12086011600,,,,,,,3,1,2,6,5,10,12,39
12086011700,,,,,2,,1,,5,3,4,7,5,27
12086011800,1,,,,,,,1,,1,5,1,6,15
12086011900,,,,,,1,,1,2,3,6,7,5,25
12086012000,,1,,,,,,1,3,,3,7,1,16
12086012100,1,,1,,,1,,2,,3,4,13,11,36
12086012200,,,,,,,,1,3,4,7,16,23,54
12086012300,,,,,,,,,2,2,6,15,15,40
12086012400,,,,,,,,,3,4,10,21,14,52
12086012500,,,,1,,,,1,2,2,8,9,12,35
12086012600,1,,,,,,1,1,2,4,8,7,12,36
12086012700,,,,,,,1,3,2,2,7,10,16,41
12086012800,,,,,,1,1,,2,4,5,23,23,59
12086012900,,,,,,,1,,,4,5,4,5,19
12086013000,1,,,,,,,,1,2,6,16,11,37
12086013100,,,,,,,,1,,3,4,11,4,23
12086013200,,,,,,1,,2,1,6,5,13,13,41
12086013300,,,,,,,,,2,2,4,11,4,23
12086013400,,,,,1,,,1,,2,6,3,9,22
12086013500,1,,,,,1,1,,1,4,3,9,22,42
12086013600,2,,,,,,1,2,1,3,5,16,15,45
12086013700,,,,,,,,2,,4,13,14,33,66
12086013800,,,,,1,,,2,5,5,6,6,8,33
12086013900,,,,,,,,2,1,3,4,5,17,32
12086014100,,,,,,,,1,2,1,,2,2,8
12086014200,1,,,,,,,2,1,2,1,7,15,29
12086014300,,,,,,,,,1,1,5,8,13,28
12086014400,,,,,,,,1,,3,2,3,8,17
12086014500,1,,,,,,,,2,7,7,13,13,43
12086014600,,,,,,1,,1,3,2,7,15,28,57
12086014700,,,,,,2,1,,2,4,4,17,25,55
12086014800,,,,,,1,1,2,3,7,12,8,11,45
12086014900,,,,,,,,1,3,2,9,8,22,45
12086015000,,,,,,1,2,,3,10,12,22,37,87
12086015100,,,,,,,,1,3,4,7,10,12,37
12086015200,,,,,,,,2,,4,3,9,12,30
12086015300,,,,,,1,,2,3,2,2,12,22,44
12086015400,,,,,,1,,,,7,3,17,26,54
12086015500,,,,,,,,,1,4,14,21,34,74
12086015600,,,,1,,,,2,,3,4,6,9,25
12086015700,,,,,,,,1,,2,4,3,7,17
12086015800,,,1,,,,,2,,2,10,16,26,57
12086015900,1,,,,,,,,,1,11,12,19,44
12086016000,2,,,,,,1,,2,2,10,14,9,40
12086016100,,,,,,,,1,3,5,7,11,25,52
12086016200,,,,,,,1,,,2,2,6,12,23
12086016300,,,,,,,1,1,2,2,3,9,14,32
12086016400,,,,,,1,1,,3,2,2,5,12,26
12086016500,,,,,,,,1,,1,3,8,10,23
12086016600,,,,,,,,2,1,2,2,7,11,25
12086016700,,,,,,,,,4,4,6,10,20,44
12086016800,,,,,,,1,,,1,4,5,15,26
12086016900,,,,,,1,,1,2,5,3,5,13,30
12086017000,,,,,,1,,1,1,5,4,8,19,39
