tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086000107,1,,,,1,,,,2,1,2,2,5,14
12086000109,,,,,,1,,1,5,5,7,3,3,25
12086000113,,,,,,,1,1,5,5,6,11,24,53
12086000115,,,,,,,,,1,,1,2,3,7
12086000118,,,1,,,,,,,1,,3,,5
12086000119,2,,,,,,1,,1,1,8,5,33,51
12086000120,,,,,,,1,2,2,2,2,3,13,25
12086000121,,,,,,,,,,,4,8,9,21
12086000122,,,,,,,,1,1,1,6,14,24,47
12086000123,,,,,,,1,1,1,2,5,5,17,32
12086000124,,,,1,1,,,1,,4,10,9,10,36
12086000125,1,,,,,,,1,1,,6,7,20,36
12086000126,,,,,,,,,,,2,9,16,27
12086000127,,,,,,,,,2,2,8,6,8,26
12086000128,,,,,,,,,,,2,5,4,11
12086000129,,,,,,,,,,2,4,15,17,38
12086000130,,,,,,,,,,,3,2,14,19
12086000131,,,,,,2,,1,2,,4,14,38,61
12086000132,,,,,,,,1,3,,14,18,25,61
12086000133,,,,,,,,,1,4,7,5,12,29
12086000134,1,,,,,,2,2,5,14,12,5,15,56
12086000140,,,,,,,,,,3,2,4,,9
12086000202,,,,1,1,,,,1,3,10,15,12,43
12086000204,,1,,,,,1,,1,4,5,11,12,35
12086000206,,,,,,1,1,1,2,1,8,14,10,38
12086000209,,,,,,1,1,3,6,14,16,14,14,69
12086000211,,,,,,,,1,2,9,5,2,7,26
12086000212,,,,,,,3,2,5,3,12,7,6,38
12086000213,1,1,,1,,,1,2,3,4,8,2,6,29
12086000214,,,,,,,3,1,2,6,5,11,20,48
12086000215,,,,,,1,2,2,1,2,3,3,6,20
12086000216,,,,,,2,,,1,9,7,5,7,31
12086000217,1,,,,,,1,5,2,4,7,5,7,32
12086000218,,,,,1,,1,2,1,3,4,5,4,21
12086000219,,,,,,,3,,2,5,8,11,21,50
12086000220,,,1,,,,2,,1,3,3,4,4,18
12086000301,1,,1,,,3,3,2,4,10,15,12,13,64
12086000302,,,,,1,,1,1,2,2,8,4,3,22
12086000305,,,,,,1,1,1,9,13,16,11,12,64
12086000306,1,,,,,,1,4,2,11,9,7,10,45
12086000307,1,,1,,,,2,1,2,4,10,9,10,40
12086000308,1,,,,,,1,,3,6,7,13,10,41
12086000402,,,1,,,,2,,2,12,7,5,14,43
12086000403,1,,,,,,4,2,7,14,16,12,14,70
12086000404,,,,,,,,6,5,11,10,12,11,55
12086000405,,,,,,,1,3,1,6,13,10,9,43
12086000408,,,,,,1,4,4,2,10,12,9,10,52
12086000409,2,,,,,,1,1,3,11,7,13,7,45
12086000410,,,,1,,,1,4,1,3,5,9,4,28
12086000411,,,,,1,,1,1,3,7,14,1,8,36
12086000412,,,,,1,3,3,2,5,9,13,27,14,77
12086000413,,,,,,1,2,,2,7,9,7,10,38
12086000414,,,,,,1,1,,2,7,3,10,10,34
12086000501,,,,,1,,2,2,5,17,5,17,13,62
12086000503,1,,,,,3,1,3,5,7,5,7,5,37
12086000504,,,,,,1,3,2,4,5,12,9,11,47
12086000505,,,,,,,,1,2,10,2,21,18,54
12086000601,,,,,,1,,1,1,6,4,17,17,47
12086000602,,,,,,1,,,4,5,6,14,23,53
12086000603,,,,,,1,,,1,11,3,12,22,50
12086000604,,,,,1,,2,,2,6,7,24,27,69
12086000605,,,,,,,1,1,4,3,8,13,31,61
12086000607,,,,,,,1,2,,3,9,14,27,56
12086000608,,,,,,,,,2,8,15,14,34,73
12086000705,,,,,,,,,1,5,8,17,35,66
12086000706,,,,,,,,1,3,7,10,25,44,90
12086000707,,,,,,,,1,2,4,8,19,15,49
12086000708,,,,,,,3,,1,2,8,14,41,69
12086000709,,,,,,,1,,4,7,9,19,33,73
12086000710,,,,,,,,2,2,4,12,15,14,49
12086000711,,,,,,,,1,,5,9,14,23,52
12086000712,,,,,,,,2,,2,1,7,8,20
12086000804,,,,,,1,,,4,6,10,14,16,51
12086000805,,,,,,1,2,3,4,4,17,16,26,73
12086000806,,1,,,,,,,2,6,12,26,36,83
12086000807,,,,,,1,,,7,7,9,8,15,47
12086000808,,,,,,,1,1,1,3,6,8,11,31
12086000901,,,,,,1,2,1,2,9,12,17,18,62
12086000902,,,,,,,1,2,6,10,17,12,17,65
12086000903,1,,,,,,,,6,9,9,10,6,41
12086001002,3,1,,,,,5,1,8,19,11,10,13,71
12086001003,,,,,1,1,1,2,7,9,13,12,14,60
12086001004,1,,,1,2,,,,1,10,12,7,8,42
12086001005,1,1,,,,,,2,4,7,15,6,14,50
12086001006,,,,,,,,5,4,4,8,14,6,41
12086001101,,,,,,1,,2,3,11,14,19,13,63
12086001102,1,,,,,,1,,,6,3,6,8,25
12086001103,,1,,,,1,,2,2,,8,6,5,25
12086001104,,,,,,,,,1,6,5,9,12,33
12086001203,1,,,,,1,1,1,2,11,12,14,6,49
12086001204,,,,,,,1,1,2,3,3,14,17,41
12086001205,,,,,,,1,1,1,3,4,4,7,21
12086001206,,,,,,1,,1,1,2,10,6,25,46
12086001301,1,,,,,,,2,3,4,12,5,8,35
12086001302,,,,,,,2,1,2,5,5,9,10,34
12086001401,,,,,,,1,1,4,12,17,19,4,58
12086001402,,,,,,,5,1,2,5,14,9,3,39
12086001501,,,,,,,1,3,1,6,7,5,1,24
12086001502,,,,,,,2,4,6,10,16,6,5,49
12086001602,1,,,,,,,2,4,3,10,26,16,62
12086001603,,,,,,,,,1,7,2,10,19,39
12086001605,,,,,,,,1,,7,12,22,15,57
12086001606,1,,,,,,,2,2,6,9,7,10,37
12086001701,1,,,,,1,2,3,3,7,10,7,10,44
12086001702,,,,,,1,2,2,3,11,9,10,6,44
12086001703,,,,,,,1,1,3,2,8,6,10,31
12086001801,,,,,,1,,2,8,7,4,5,6,33
12086001802,,,,,,,1,2,5,5,2,6,6,27
12086001803,1,,,1,,2,2,1,1,5,6,14,10,43
12086001901,1,,,,1,,1,3,1,11,10,12,4,44
12086001903,,,,,,,,2,5,9,7,6,6,35
12086001904,,,,1,,1,1,1,4,15,6,11,11,51
12086002001,,,,,,,4,3,4,10,9,5,6,41
12086002003,1,,,,,,3,2,7,4,9,10,3,39
12086002004,,,,,,,2,1,1,5,3,6,6,24
12086002100,,,,,,1,,,1,4,,1,3,10
12086002201,,,,,,,,,3,7,6,21,37,74
12086002202,,,,,,,1,,5,11,6,10,12,45
12086002300,3,1,,,,1,4,3,4,10,8,8,14,56
12086002402,1,,,,1,,1,1,6,11,9,8,9,47
12086002403,,,,,,,1,1,3,2,2,5,6,20
12086002404,1,,,,,,2,,3,8,17,17,22,70
12086002501,,,,,,2,2,,5,6,7,15,6,43
12086002502,,,,,,1,3,3,3,3,7,4,6,30
12086002600,,,,,,2,2,1,,3,6,5,6,25
12086002702,,,,,,,,,1,2,1,1,,5
12086002703,,,,,,,,2,1,6,4,3,5,21
12086002705,,,,,,,,1,2,4,4,1,3,15
12086002706,,,,,,,,1,1,1,1,1,1,6
12086002800,,,,,,,,4,,2,,1,2,9
12086002900,,,,,2,1,1,1,5,11,14,17,12,64
12086003001,,,,,,,1,2,4,4,13,9,30,63
12086003003,1,,,,,,2,1,2,7,5,8,17,43
12086003004,,,,,,,,2,2,9,6,16,9,44
12086003100,2,,,,,,,1,5,17,12,13,7,57
12086003400,,1,,,,1,1,4,3,5,5,2,4,26
12086003601,,1,,,,1,1,1,4,9,8,8,7,40
12086003602,,,,,1,,,2,2,9,11,12,17,54
12086003702,,,,,,2,2,,2,2,5,,5,18
12086003703,,,,,,,,,,,1,,1,2
12086003704,,,,,,,2,,1,2,1,,1,7
12086003705,,,,,,,,,,,,1,,1
12086003706,,,,,,,,,,,,1,,1
12086003707,,,,,,,,,,,,,1,1
12086003801,,,,1,1,1,1,1,1,2,4,6,16,34
12086003803,,,,,,,,,2,,3,3,29,37
12086003804,,,,,1,,,,,7,7,13,27,55
12086003906,,,,,,,,,,,2,1,7,10
12086003909,,,,,,,,,1,2,5,5,3,16
12086003911,,,,,,1,,1,1,1,7,4,4,19
12086003912,,,,,,,,,2,2,3,1,14,22
12086003913,,,,,,,1,,2,5,1,6,5,20
12086003914,,,,,,,,3,4,7,8,9,11,42
12086003915,,,,,,,1,,,5,3,5,7,21
12086003916,,,,1,,1,1,,3,7,3,6,10,32
12086003917,,,,,,,1,,4,3,11,9,13,41
12086003918,,,,,1,,1,,,2,1,,1,6
12086003919,,,,,,,,1,2,2,2,4,17,28
12086003921,,,,,,,,,,,1,4,17,22
12086003922,,,,,1,,,1,,,2,5,14,23
12086004000,,,,,1,,,1,1,2,7,9,9,30
12086004102,,,,,,,1,,,1,3,2,8,15
12086004103,1,,,,,,1,,2,1,6,5,8,24
12086004105,,,,,,,,2,,4,2,2,6,16
12086004106,1,,,,,,,,,,2,6,6,15
12086004203,,,,,,,3,3,,3,2,4,6,21
12086004204,,,,,,,1,1,3,2,3,1,6,17
12086004205,,,,,,1,,1,2,3,,1,2,10
12086004206,,,,,,,,,,1,,2,4,7
12086004301,,,,,,,2,1,,2,,1,4,10
12086004303,,,,,,,,1,1,1,3,1,,7
12086004304,,,,,,,,,1,1,1,5,4,12
12086004403,,,,,,,,,1,,2,5,4,12
12086004404,,,,,,,,,,1,,2,7,10
12086004405,,,,,,,,1,2,1,3,9,5,21
12086004406,,,,,,1,,1,1,3,5,3,8,22
12086004500,,,,,,,,,2,4,5,13,25,49
12086004602,,,,,,,,,,2,3,4,9,18
12086004605,1,,,,,,,1,1,1,2,2,10,18
12086004607,,,,,,,,1,,,1,12,9,23
12086004608,,,,,,,,,1,1,,2,6,10
12086004701,,,,,,1,1,,4,1,4,7,16,34
12086004702,,,,,,,1,,1,5,10,9,21,47
12086004703,2,,,,,,,1,1,3,8,22,45,82
12086004901,,,,,,,,1,,6,5,2,1,15
12086004902,,,,,1,,,1,2,6,12,13,34,69
12086005001,,1,1,1,,1,1,3,3,4,18,23,34,90
12086005002,,,,,,,,,3,2,12,18,23,58
12086005102,,,,,1,,1,1,2,8,10,11,29,63
12086005103,1,,,,,1,,,1,1,4,4,14,26
12086005104,,,,,,,2,1,3,3,7,8,7,31
12086005201,,,,,,,1,,,9,7,15,11,43
12086005202,,1,,,,1,,1,4,7,9,15,30,68
12086005302,1,,,,,2,,4,1,9,12,19,22,70
12086005303,,,,,,,1,1,2,3,3,7,6,23
12086005304,,,1,,,,1,,1,7,4,9,12,35
12086005403,,,,,,,1,,1,,1,4,9,16
12086005405,,,,,,,,,1,9,3,2,6,21
12086005406,,,,,,,1,1,6,5,6,7,5,31
12086005407,,,,,,,,1,,1,2,8,7,19
12086005409,1,,,,,,,1,1,1,2,6,13,25
12086005410,,,,,,,,1,,4,6,5,10,26
12086005501,1,,,,,,,1,4,3,10,15,32,66
12086005502,,,,,1,,1,,4,1,7,13,35,62
12086005600,,,,,1,,1,,,3,11,16,27,59
12086005701,,,,,,,,,,6,3,18,41,68
12086005703,,,,,,,1,,3,6,7,25,46,88
12086005704,,,,,,,,1,2,5,15,15,24,62
12086005801,,,,,,,,,3,3,10,13,42,71
12086005802,,,,,,,1,3,2,10,8,25,56,105
12086005901,,,1,,,1,1,1,1,2,9,14,25,55
12086005902,,,,,1,,,,1,2,6,18,29,57
12086005903,,,,,,1,,,3,7,4,11,22,48
12086005904,,,2,,,1,,1,2,10,3,10,29,58
12086006001,1,1,,,,,1,1,2,1,12,21,35,75
12086006002,,,,,,,,,3,3,9,19,32,66
12086006101,,,,,,,,1,1,3,4,6,21,36
12086006102,,,,,1,,,,2,2,5,12,28,50
12086006201,,,,,,1,,,1,2,4,7,8,23
12086006203,,,,,,,,,,,4,2,26,32
12086006205,,,,,,,,,2,4,5,1,2,14
12086006206,,,,,,,,1,1,1,4,4,6,17
12086006301,,,,,,,,,4,7,15,15,22,63
12086006302,1,,,,,,,,,4,6,17,29,57
12086006401,,,,,,,1,,2,2,3,9,15,32
12086006402,1,,,,,,,2,1,1,3,14,16,38
12086006403,,,,,,1,,1,2,1,7,13,18,43
12086006501,,,,,,,,,,6,4,12,12,34
12086006503,,,,,,,,,,1,2,9,16,28
12086006504,,,,,,,,,,,4,1,6,11
12086006601,,,,,,1,,1,,2,7,14,19,44
12086006602,,,,,,,3,,2,3,3,6,11,28
12086006702,1,,1,,,,1,3,1,3,3,,17,30
12086006705,,,,,,,,,1,1,6,6,12,26
12086006706,,,,,,,,1,,,2,,4,7
12086006707,,,,,,,,1,1,1,4,1,1,9
